159		かける	ru-v	to put on (eg glasses)	clothes	kakeru
511	脱ぐ	ぬぐ	u-v	to take off clothes	clothes	nugu
175		かぶる	u-v	to wear, to put on (head)	clothes	kaburu
529		はく	u-v	to wear, to put on (trousers)	clothes	haku
608	帽子	ぼうし	n	hat	clothes complements	boushi
664	眼鏡	めがね	n	spectacles, glasses	clothes complements	megane
277	財布	さいふ	n	wallet	clothes complements	saifu
173		かばん	n	bag, basket	clothes complements	kaban
513		ネクタイ	n	tie, necktie	clothes complements	nekutai
558		ハンカチ	n	handkerchief	clothes complements	hankachi
611		ポケット	n	pocket	clothes complements	poketto
615		ボタン	n	button	clothes complements	botan
7	明るい	あかるい	adj	bright, cheerful	color	akarui
227	暗い	くらい	adj	dark, gloomy	color	kurai
326	白い	しろい	adj	white	color	shiroi
6	赤い	あかい	adj	red	color	akai
4	青い	あおい	adj	blue	color	aoi
192	黄色い	きいろい	adj	yellow	color	kiiroi
234	黒い	くろい	adj	black	color	kuroi
325	白	しろ	n	white	color	shiro
651	緑	みどり	n	green	color	midori
75	色	いろ	n	colour	color	iro
411	茶色	ちゃいろ	n	brown	color	chairo
5	赤	あか	n	red	color	aka
3	青	あお	n	blue	color	ao
191	黄色	きいろ	n	yellow	color	kiiro
233	黒	くろ	n	black	color	kuro
283	～冊	～さつ	n	counter for books	counter	satsu
143	～回	～かい	n	counter for occurrences	counter	kai
525	～杯	～はい	n	counter for cupfuls	counter	hai
144	～階	～かい	n	counter for storeys of a building	counter	kai
447	～度	～ど	n-suf	counter for occurrences	counter	do
327	～人	～にん	n, suf	counter for people	counter	nin
243	～個	～こ	n, suf	counter for small items	counter	ko
373	～台	～だい	suf	counter for vehicles/machines	counter	dai
510	～人	～にん		counter for people	counter	nin
563	～匹	～ひき		counter for small animals	counter	hiki
618	～本	～ほん		counter for long cylindrical things	counter	hon
621	～枚	～まい		counter for flat things	counter	mai
645	水	みず	n	water	drink	mizu
204	牛乳	ぎゅうにゅう	n	milk	drink	gyuuniyuu
285	砂糖	さとう	n	sugar	drink	satou
248	紅茶	こうちゃ	n	black tea	drink	koucha
519	飲み物	のみもの	n	drink, beverage	drink	nomimono
170		カップ	n	cup	drink	kappu
252		コーヒー	n	coffee	drink	ko_hi_
261		コップ	n	cup	drink	koppu
520	飲む	のむ	u-v	to drink	drink	nomu
109	お酒	おさけ	n	alcohol, sake (rice wine)	drink	osake
452		どうぞ	adv	please, kindly, by all means	etiquette	douzo
454		どうも	adv, int	thanks, very	etiquette	doumo
668		もしもし	conj, int	hello (on phone)	etiquette	moshimoshi
219		ください	kana only	(with te-form verb) please do for me	etiquette	kudasai
97		お～	prefix	honourable ～ (honorific)	etiquette	o
288		～さん	suf	Mr or Mrs	etiquette	san
698	呼ぶ	よぶ	u-v	to call out, to invite	etiquette	yobu
239	結婚	けっこん（する）	adj-no, n, vs	marriage	family	kekkonsuru
709	両親	りょうしん	n	parents, both parents	family	ryoushin
129	伯母さん/叔母さん	おばさん	n	aunt	family	obasan
111	伯父/叔父・さん	おじ・さん	n	uncle, middle aged man	family	ojisan
29	兄	あに	n	(hum) older brother	family	ani
207	兄弟	きょうだい	n	siblings (brothers and sisters)	family	kyoudai
69	妹	いもうと	n	younger sister	family	imouto
30	姉	あね	n	(hum) older sister	family	ane
264	子供	こども	n	child, children	family	kodomo
166	家族	かぞく	n	family	family	kazoku
119	弟	おとうと	n	younger brother	family	otouto
547	母	はは	n	(one's own) mother	family	haha
410	父	ちち	n	(one's own) father	family	chichi
112		おじいさん	n	grandfather, male senior citizen	family	ojiisan
130		おばあさん	n	grandmother, female senior-citizen	family	obaasan
83	生まれる	うまれる	ru-v	to be born	family	umareru
127	お兄さん	おにいさん	n	(hon) older brother	family honorific	oniisan
128	お姉さん	おねえさん	n	(hon) older sister	family honorific	oneesan
103	お母さん	おかあさん	n	(hon) mother	family honorific	okaasan
118	お父さん	おとうさん	n	(hon) father	family honorific	otousan
108	奥さん	おくさん	n	(hon) wife	family honorific	okusan
132	お弁当	おべんとう	n	boxed lunch	food	obentou
110	お皿	おさら	n	plate, dish	food	osara
116	お茶	おちゃ	n	tea (green)	food	ocha
104	お菓子	おかし	n	confections, sweets, candy	food	okashi
396	食べ物	たべもの	n	food	food	tabemono
39	飴	あめ	n	(hard) candy, toffee	food	ame
532		はし	n	chopsticks	food	hashi
715		レストラン	n	restaurant	food	resutoran
397	食べる	たべる	ru-v	to eat	food	taberu
210	切る	きる	suf, u-v	to cut, to chop	food	kiru
476	とり肉	とりにく	n	chicken meat	food ingredients	toriniku
398	卵	たまご	n	egg(s)	food ingredients	tamago
293	塩	しお	n	salt	food ingredients	shio
220	果物	くだもの	n	fruit	food ingredients	kudamono
203	牛肉	ぎゅうにく	n	beef	food ingredients	gyuuniku
503	肉	にく	n	meat	food ingredients	niku
588	豚肉	ぶたにく	n	pork	food ingredients	butaniku
676	野菜	やさい	n	vegetable	food ingredients	yasai
278	魚	さかな	n	fish	food ingredients	sakana
184		カレー	n	curry	food ingredients	kare_
322		しょうゆ	n	soy sauce	food ingredients	shouyu
538		バター	n	butter	food ingredients	bata_
557		パン	n	bread	food ingredients	pan
57	痛い	いたい	adj	painful	health	itai
576	病気	びょうき	n	illness, disease, sickness	health	byouki
164	風邪	かぜ	n	cold, illness	health	kaze
242	元気	げんき	na-adj, n	health	health	genki
330	吸う	すう	u-v	to smoke, to breathe in, to suck	health	suu
305	死ぬ	しぬ	v5n	to die	health	shinu
171	家庭	かてい	n	home, household	home	katei
172	角	かど	n	corner (e.g. desk)	home	kado
82		うち	n	house (one's own)	home	uchi
155		かぎ	n	key/s	home	kagi
48	家	いえ	suf	house, family	home	ie
361	掃除	そうじ（する）	n, vs	cleaning, sweeping	home activity	soujisuru
358	洗濯	せんたく	n, vs	washing, laundry	home activity	sentaku
515	寝る	ねる	ru-v	to go to bed, to sleep	home activity	neru
106	起きる	おきる	ru-v	to get up, to rise	home activity	okiru
34		あびる	ru-v	to bathe, to shower	home activity	abiru
160		かける	ru-v	to dial/call (eg phone)	home activity	kakeru
40	洗う	あらう	u-v	to wash	home activity	arau
642	磨く	みがく	u-v	to brush (teeth)	home activity	migaku
713	冷蔵庫	れいぞうこ	n	refrigerator	home furniture	reizouko
460	時計	とけい	n	watch, clock	home furniture	tokei
619	本棚	ほんだな	n	bookshelves	home furniture	hondana
55		いす	n	chair	home furniture	isu
339		ストーブ	n	heater (lit: stove)	home furniture	suto_bu
431		テーブル	n	table	home furniture	te_buru
