277	財布 	さいふ 	n 	wallet	clothes complements
173		かばん 	n 	bag, basket	clothes complements
513		ネクタイ 	n 	tie, necktie	clothes complements
558		ハンカチ 	n 	handkerchief	clothes complements
611		ポケット 	n 	pocket	clothes complements
615		ボタン 	n 	button	clothes complements
7	明るい 	あかるい 	adj 	bright, cheerful	color
227	暗い 	くらい 	adj 	dark, gloomy	color
326	白い 	しろい 	adj 	white	color
6	赤い 	あかい 	adj 	red	color
4	青い 	あおい 	adj 	blue	color
192	黄色い 	きいろい 	adj 	yellow	color
234	黒い 	くろい 	adj 	black	color
325	白 	しろ 	n 	white	color
651	緑 	みどり 	n 	green	color
75	色 	いろ 	n 	colour	color
411	茶色 	ちゃいろ 	n 	brown	color
5	赤 	あか 	n 	red	color
3	青 	あお 	n 	blue	color
191	黄色 	きいろ 	n 	yellow	color
233	黒 	くろ 	n 	black	color
283	～冊 	～さつ 	n 	counter for books	counter
143	～回 	～かい 	n 	counter for occurrences	counter
525	～杯 	～はい 	n 	counter for cupfuls	counter
144	～階 	～かい 	n 	counter for storeys of a building	counter
447	～度 	～ど 	n-suf 	counter for occurrences	counter
327	～人 	～にん 	n, suf 	counter for people	counter
243	～個 	～こ 	n, suf 	counter for small items	counter
373	～台 	～だい 	suf 	counter for vehicles/machines	counter
510	～人 	～にん 		counter for people	counter
563	～匹 	～ひき 		counter for small animals	counter
618	～本 	～ほん 		counter for long cylindrical things	counter
621	～枚 	～まい 		counter for flat things	counter
645	水 	みず 	n 	water	drink
204	牛乳 	ぎゅうにゅう 	n 	milk	drink
285	砂糖 	さとう 	n 	sugar	drink
248	紅茶 	こうちゃ 	n 	black tea	drink
519	飲み物 	のみもの 	n 	drink, beverage	drink
170		カップ 	n 	cup	drink
252		コーヒー 	n 	coffee	drink
261		コップ 	n 	cup	drink
520	飲む 	のむ 	u-v 	to drink	drink
109	お酒 	おさけ 	n 	alcohol, sake (rice wine)	drink
452		どうぞ 	adv 	please, kindly, by all means	etiquette
454		どうも 	adv, int 	thanks, very	etiquette
